Player,Pos,Squad,Comp,MP,Min,Gls,Ast,GA,xG,npxG,xAG,Sh,SoT,SoT_pct,KP,SCA,GCA,Succ_pct,Goals_per90,Assists_per90,xG_per90,Finishing,Shot_Accuracy
Henrikh Mkhitaryan,MF,Inter,it Serie A,31,2328,1,4,5,1.5,1.5,2.7,23,2,8.7,29,101,12,26.9,0.04,0.15,0.06,-0.5,8.7
Rui Modesto,"DF,MF",Udinese,it Serie A,20,608,0,1,1,0.5,0.5,0.8,3,2,66.7,14,23,2,37.5,0.0,0.15,0.07,-0.5,66.67
Luka Modrić,MF,Real Madrid,es La Liga,35,1827,2,6,8,1.6,1.6,7.0,22,6,27.3,66,122,15,58.3,0.1,0.3,0.08,0.4,27.27
Max Moerstedt,FW,Hoffenheim,de Bundesliga,12,451,0,0,0,0.8,0.8,0.6,12,4,33.3,7,16,0,25.0,0.0,0.0,0.16,-0.8,33.33
Mostafa Mohamed,FW,Nantes,fr Ligue 1,30,1252,5,0,5,5.5,5.5,0.4,43,16,37.2,6,17,2,46.2,0.36,0.0,0.4,-0.5,37.21
Johan Mojica,DF,Mallorca,es La Liga,36,2755,1,2,3,0.9,0.9,4.1,17,3,17.6,40,83,6,37.1,0.03,0.07,0.03,0.1,17.65
Alberto Moleiro,"FW,MF",Las Palmas,es La Liga,35,2714,6,1,7,5.6,5.6,3.3,68,24,35.3,41,106,6,42.7,0.2,0.03,0.19,0.4,35.29
Nahuel Molina,DF,Atlético Madrid,es La Liga,30,1590,0,3,3,0.8,0.8,1.5,9,1,11.1,13,44,5,50.0,0.0,0.17,0.05,-0.8,11.11
Jon Moncayola,MF,Osasuna,es La Liga,32,2099,0,0,0,1.6,1.6,3.7,21,9,42.9,33,67,4,33.3,0.0,0.0,0.07,-1.6,42.86
Lorenzo Montipò,GK,Hellas Verona,it Serie A,36,3240,0,0,0,0.0,0.0,0.0,0,0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,
Mikey Moore,FW,Tottenham,eng Premier League,10,366,0,1,1,0.2,0.2,0.3,3,0,0.0,3,12,2,11.8,0.0,0.25,0.05,-0.2,0.0
Álvaro Morata,"FW,MF",Milan,it Serie A,16,1099,5,0,5,3.9,3.9,0.8,27,10,37.0,7,21,3,35.3,0.41,0.0,0.32,1.1,37.04
Morato,DF,Nott'ham Forest,eng Premier League,26,907,0,0,0,0.2,0.2,0.0,2,1,50.0,0,3,0,100.0,0.0,0.0,0.02,-0.2,50.0
Diego Moreira,"DF,MF",Strasbourg,fr Ligue 1,32,2568,2,7,9,2.0,2.0,7.3,25,8,32.0,30,67,10,45.6,0.07,0.25,0.07,0.0,32.0
Alberto Moreno,DF,Como,it Serie A,24,1727,0,0,0,0.4,0.4,1.2,14,6,42.9,19,36,2,42.9,0.0,0.0,0.02,-0.4,42.86
Álex Moreno,"DF,MF",Nott'ham Forest,eng Premier League,15,955,0,1,1,0.2,0.2,1.3,6,0,0.0,8,16,2,38.1,0.0,0.09,0.02,-0.2,0.0
Gerard Moreno,FW,Villarreal,es La Liga,17,721,3,2,5,4.2,1.8,3.6,23,9,39.1,17,39,4,58.1,0.37,0.25,0.52,-1.2,39.13
Tete Morente,"FW,MF",Lecce,it Serie A,31,2021,3,2,5,2.9,2.9,1.6,41,13,31.7,25,61,4,54.5,0.13,0.09,0.13,0.1,31.71
Mateu Morey,DF,Mallorca,es La Liga,16,741,0,0,0,0.4,0.4,0.3,3,1,33.3,4,12,1,52.9,0.0,0.0,0.05,-0.4,33.33
Ilaix Moriba,MF,Celta Vigo,es La Liga,33,2132,1,1,2,1.7,1.7,1.5,34,11,32.4,20,55,5,30.6,0.04,0.04,0.07,-0.7,32.35
Manu Morlanes,MF,Mallorca,es La Liga,23,1338,0,0,0,0.6,0.6,0.3,11,1,9.1,10,35,0,37.5,0.0,0.0,0.04,-0.6,9.09
Nikola Moro,MF,Bologna,it Serie A,22,1208,0,2,2,0.5,0.5,0.8,14,2,14.3,20,48,6,58.3,0.0,0.15,0.04,-0.5,14.29
Raúl Moro,"MF,FW",Valladolid,es La Liga,33,2341,4,5,9,4.1,4.1,5.7,46,16,34.8,44,94,9,43.2,0.15,0.19,0.16,-0.1,34.78
Sam Morsy,MF,Ipswich Town,eng Premier League,33,2751,1,1,2,0.4,0.4,1.2,13,3,23.1,24,51,2,58.6,0.03,0.03,0.01,0.6,23.08
Cristhian Mosquera,DF,Valencia,es La Liga,37,3319,1,0,1,0.4,0.4,0.0,5,2,40.0,0,14,1,55.6,0.03,0.0,0.01,0.6,40.0
Daniel Mosquera,FW,Hellas Verona,it Serie A,35,1375,5,1,6,6.6,6.6,1.3,57,15,26.3,12,43,3,64.0,0.33,0.07,0.43,-1.6,26.32
Yerson Mosquera,DF,Wolves,eng Premier League,5,441,0,0,0,0.3,0.3,0.1,2,0,0.0,2,5,0,0.0,0.0,0.0,0.06,-0.3,0.0
Dany Mota,"FW,MF",Monza,it Serie A,31,2104,5,2,7,5.1,5.1,1.8,42,11,26.2,22,55,3,33.3,0.21,0.09,0.22,-0.1,26.19
Yael Mouanga,DF,Montpellier,fr Ligue 1,14,946,0,0,0,0.1,0.1,0.2,1,0,0.0,2,6,0,100.0,0.0,0.0,0.01,-0.1,0.0
Aimen Moueffek,MF,Saint-Étienne,fr Ligue 1,22,1039,0,1,1,1.1,1.1,1.1,10,2,20.0,10,21,3,45.8,0.0,0.09,0.1,-1.1,20.0
Steve Mounié,"FW,MF",Augsburg,de Bundesliga,16,347,1,0,1,3.2,3.2,0.0,22,7,31.8,1,7,0,25.0,0.26,0.0,0.83,-2.2,31.82
Mason Mount,MF,Manchester Utd,eng Premier League,17,622,1,0,1,3.2,3.2,0.6,20,9,45.0,8,22,0,10.0,0.14,0.0,0.46,-2.2,45.0
Santiago Mouriño,DF,Alavés,es La Liga,25,1849,0,1,1,0.9,0.9,0.9,13,3,23.1,7,11,2,36.4,0.0,0.05,0.04,-0.9,23.08
Louis Mouton,MF,Saint-Étienne,fr Ligue 1,24,1045,0,1,1,1.3,1.3,1.3,19,3,15.8,16,28,2,50.0,0.0,0.09,0.11,-1.3,15.79
Ngal'Ayel Mukau,MF,Lille,fr Ligue 1,22,1190,0,1,1,0.8,0.8,0.7,11,2,18.2,12,20,1,52.9,0.0,0.08,0.06,-0.8,18.18
Nordi Mukiele,DF,Leverkusen,de Bundesliga,15,899,1,0,1,1.4,1.4,1.0,7,3,42.9,9,15,1,52.9,0.1,0.0,0.14,-0.4,42.86
Florian Müller,GK,Freiburg,de Bundesliga,9,753,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,
Kevin Müller,GK,Heidenheim,de Bundesliga,33,2939,0,0,0,0.0,0.0,0.0,0,0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,
Marius Müller,GK,Wolfsburg,de Bundesliga,6,475,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,
Thomas Müller,"MF,FW",Bayern Munich,de Bundesliga,30,1225,1,4,5,3.8,3.8,2.9,30,11,36.7,35,73,9,47.1,0.07,0.29,0.28,-2.8,36.67
Abdul Mumin,DF,Rayo Vallecano,es La Liga,24,2017,2,1,3,0.6,0.6,0.2,10,3,30.0,1,11,3,50.0,0.09,0.04,0.03,1.4,30.0
Marshall Munetsi,"MF,FW",Wolves,eng Premier League,14,1078,2,1,3,3.3,3.3,1.8,22,7,31.8,9,21,1,27.3,0.17,0.08,0.28,-1.3,31.82
Marshall Munetsi,MF,Reims,fr Ligue 1,19,1692,4,2,6,4.0,4.0,2.0,32,10,31.3,19,41,4,50.0,0.21,0.11,0.21,0.0,31.25
Rodrigo Muniz,FW,Fulham,eng Premier League,31,964,8,1,9,5.8,5.8,0.7,39,19,48.7,7,17,2,33.3,0.75,0.09,0.54,2.2,48.72
Aihen Muñoz,DF,Real Sociedad,es La Liga,21,1098,0,0,0,0.2,0.2,0.3,6,0,0.0,3,10,0,58.3,0.0,0.0,0.02,-0.2,0.0
Álex Muñoz,DF,Las Palmas,es La Liga,21,1415,3,0,3,0.9,0.9,0.5,9,5,55.6,7,15,0,22.2,0.19,0.0,0.06,2.1,55.56
Daniel Muñoz,DF,Crystal Palace,eng Premier League,37,3228,4,5,9,4.9,4.9,5.5,37,14,37.8,46,85,11,37.5,0.11,0.14,0.14,-0.9,37.84
Iker Muñoz,MF,Osasuna,es La Liga,23,610,0,1,1,0.5,0.5,1.0,11,0,0.0,6,15,2,50.0,0.0,0.15,0.07,-0.5,0.0
Javier Muñoz,"MF,DF",Las Palmas,es La Liga,35,2588,1,3,4,1.3,1.3,2.5,25,6,24.0,29,58,8,58.3,0.03,0.1,0.05,-0.3,24.0
Arijanet Muric,GK,Ipswich Town,eng Premier League,18,1620,0,0,0,0.0,0.0,0.0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,
Murillo,DF,Nott'ham Forest,eng Premier League,36,3188,2,0,2,1.4,1.4,1.2,25,6,24.0,13,44,2,73.0,0.06,0.0,0.04,0.6,24.0
Vedat Muriqi,FW,Mallorca,es La Liga,29,2058,7,2,9,9.7,7.3,2.2,52,16,30.8,26,45,6,34.6,0.31,0.09,0.42,-2.7,30.77
Jacob Murphy,FW,Newcastle Utd,eng Premier League,35,2360,8,12,20,5.7,5.7,8.9,43,15,34.9,42,82,15,50.7,0.31,0.46,0.22,2.3,34.88
Yunus Musah,"MF,FW",Milan,it Serie A,29,1571,0,2,2,1.9,1.9,1.8,22,5,22.7,23,45,4,56.8,0.0,0.11,0.11,-1.9,22.73
Jamal Musiala,MF,Bayern Munich,de Bundesliga,25,1798,12,2,14,9.3,9.3,4.5,68,31,45.6,41,111,9,51.1,0.6,0.1,0.47,2.7,45.59
Almoatasem Al Musrati,MF,Monaco,fr Ligue 1,10,386,1,1,2,0.5,0.5,0.4,11,3,27.3,5,15,1,50.0,0.23,0.23,0.12,0.5,27.27
Junior Mwanga,MF,Le Havre,fr Ligue 1,11,952,1,2,3,1.3,1.3,1.0,16,3,18.8,7,24,5,43.8,0.09,0.19,0.12,-0.3,18.75
Phillipp Mwene,DF,Mainz 05,de Bundesliga,32,2607,1,4,5,1.5,1.5,1.9,21,4,19.0,22,63,10,44.0,0.03,0.14,0.05,-0.5,19.05
Vitaliy Mykolenko,DF,Everton,eng Premier League,35,3082,1,2,3,0.5,0.5,2.6,14,1,7.1,24,43,4,40.0,0.03,0.06,0.01,0.5,7.14
Joakim Mæhle,DF,Wolfsburg,de Bundesliga,28,2188,3,4,7,2.0,2.0,2.2,18,7,38.9,20,41,8,31.7,0.12,0.16,0.08,1.0,38.89
Obite N'Dicka,DF,Roma,it Serie A,38,3420,0,1,1,1.0,1.0,0.7,18,5,27.8,8,33,3,0.0,0.0,0.03,0.03,-1.0,27.78
Konan N'dri,"FW,MF",Lecce,it Serie A,11,306,0,0,0,0.5,0.5,0.2,9,2,22.2,6,13,0,35.0,0.0,0.0,0.15,-0.5,22.22
Nathan N'Goumou,FW,Gladbach,de Bundesliga,19,828,2,1,3,1.9,1.9,1.3,24,13,54.2,6,22,5,33.3,0.22,0.11,0.21,0.1,54.17
Stanley N'Soki,DF,Hoffenheim,de Bundesliga,22,1308,0,0,0,0.1,0.1,0.4,3,1,33.3,7,19,1,68.8,0.0,0.0,0.01,-0.1,33.33
Mickael Nade,DF,Saint-Étienne,fr Ligue 1,26,2306,1,2,3,0.7,0.7,0.6,5,2,40.0,7,16,5,37.5,0.04,0.08,0.03,0.3,40.0
Bilal Nadir,MF,Marseille,fr Ligue 1,15,383,1,0,1,0.6,0.6,0.4,8,3,37.5,7,17,1,44.4,0.23,0.0,0.14,0.4,37.5
Mahamadou Nagida,DF,Rennes,fr Ligue 1,12,430,2,0,2,1.5,1.5,0.3,6,3,50.0,3,10,0,35.7,0.42,0.0,0.31,0.5,50.0
Keito Nakamura,"FW,MF",Reims,fr Ligue 1,32,2649,11,2,13,9.1,9.1,2.9,84,32,38.1,26,68,7,38.5,0.37,0.07,0.31,1.9,38.1
Sebastian Nanasi,"MF,FW",Strasbourg,fr Ligue 1,31,2107,6,4,10,6.5,6.5,4.9,28,12,42.9,37,85,17,47.5,0.26,0.17,0.28,-0.5,42.86
Matija Nastasić,DF,Leganés,es La Liga,26,2110,1,0,1,0.1,0.1,0.1,2,1,50.0,2,6,1,100.0,0.04,0.0,0.0,0.9,50.0
Natan,DF,Betis,es La Liga,31,2175,1,1,2,0.3,0.3,0.6,9,4,44.4,5,11,0,66.7,0.04,0.04,0.01,0.7,44.44
Pau Navarro,DF,Villarreal,es La Liga,17,916,0,0,0,0.0,0.0,0.0,1,0,0.0,1,6,1,42.9,0.0,0.0,0.0,0.0,0.0
Roberto Navarro,"MF,FW",Mallorca,es La Liga,23,1278,1,0,1,2.0,2.0,1.9,18,6,33.3,13,44,2,52.2,0.07,0.0,0.14,-1.0,33.33
Jesús Navas,"FW,MF",Sevilla,es La Liga,15,424,1,0,1,0.5,0.5,0.5,3,2,66.7,10,15,0,66.7,0.21,0.0,0.11,0.5,66.67
Michel Ndary Adopo,MF,Cagliari,it Serie A,35,2409,1,1,2,1.1,1.1,2.3,20,4,20.0,19,50,5,45.2,0.04,0.04,0.04,-0.1,20.0
Youssouf Ndayishimiye,DF,Nice,fr Ligue 1,23,1932,3,0,3,0.9,0.9,0.2,11,4,36.4,5,30,2,75.0,0.14,0.0,0.04,2.1,36.36
Iliman Ndiaye,FW,Everton,eng Premier League,33,2430,9,0,9,6.2,4.7,1.9,35,15,42.9,18,65,8,47.6,0.33,0.0,0.23,2.8,42.86
Junior Ndiaye,FW,Montpellier,fr Ligue 1,15,441,0,0,0,0.5,0.5,0.4,5,2,40.0,5,9,0,25.0,0.0,0.0,0.1,-0.5,40.0
Rassoul Ndiaye,MF,Le Havre,fr Ligue 1,27,1061,1,0,1,1.7,1.7,0.6,18,5,27.8,10,22,2,25.0,0.08,0.0,0.14,-0.7,27.78
Wilfred Ndidi,MF,Leicester City,eng Premier League,28,2324,0,5,5,2.0,2.0,1.9,22,8,36.4,17,31,4,39.4,0.0,0.19,0.08,-2.0,36.36
Wilfried Ndollo,DF,Montpellier,fr Ligue 1,8,401,0,0,0,0.0,0.0,0.0,0,0,0.0,1,4,0,12.5,0.0,0.0,0.0,0.0,
Tanguy Ndombele,MF,Nice,fr Ligue 1,18,1131,1,2,3,2.4,2.4,2.4,11,2,18.2,18,31,4,53.2,0.08,0.16,0.19,-1.4,18.18
Cher Ndour,"MF,DF",Fiorentina,it Serie A,9,406,0,0,0,0.1,0.1,0.0,4,0,0.0,1,10,0,50.0,0.0,0.0,0.02,-0.1,0.0
Dan Ndoye,FW,Bologna,it Serie A,30,2143,8,4,12,7.0,5.4,3.8,50,17,34.0,27,88,9,38.5,0.34,0.17,0.29,1.0,34.0
Paul Nebel,MF,Mainz 05,de Bundesliga,31,2345,10,4,14,5.8,5.8,4.1,44,18,40.9,35,84,6,39.1,0.38,0.15,0.22,4.2,40.91
Kosta Nedeljković,DF,RB Leipzig,de Bundesliga,10,479,0,0,0,0.5,0.5,0.3,4,0,0.0,3,6,0,25.0,0.0,0.0,0.09,-0.5,0.0
Loïc Nego,"DF,FW",Le Havre,fr Ligue 1,31,2459,0,0,0,0.8,0.8,0.7,11,2,18.2,13,44,4,53.1,0.0,0.0,0.03,-0.8,18.18
Reiss Nelson,FW,Fulham,eng Premier League,11,487,1,1,2,1.1,1.1,1.0,12,6,50.0,13,31,1,37.1,0.18,0.18,0.2,-0.1,50.0
David Nemeth,DF,St. Pauli,de Bundesliga,24,2137,0,1,1,0.2,0.2,0.1,5,1,20.0,3,8,2,44.4,0.0,0.04,0.01,-0.2,20.0
David Neres,FW,Napoli,it Serie A,28,1283,2,4,6,2.7,2.7,3.5,29,7,24.1,26,59,9,44.0,0.14,0.28,0.19,-0.7,24.14
Pedro Neto,FW,Chelsea,eng Premier League,35,2269,4,6,10,3.5,3.5,6.7,59,17,28.8,46,90,9,32.7,0.16,0.24,0.14,0.5,28.81
Luca Netz,DF,Gladbach,de Bundesliga,24,969,0,2,2,0.2,0.2,1.9,3,0,0.0,16,27,4,28.6,0.0,0.19,0.02,-0.2,0.0
