Player,Pos,Squad,Comp,MP,Min,Gls,Ast,GA,xG,npxG,xAG,Sh,SoT,SoT_pct,KP,SCA,GCA,Succ_pct,Goals_per90,Assists_per90,xG_per90,Finishing,Shot_Accuracy
Ousmane Dembélé,FW,Paris S-G,fr Ligue 1,29,1730,21,6,27,16.6,15.8,8.2,96,49,51.0,63,110,15,44.2,1.09,0.31,0.86,4.4,51.04
Ermedin Demirović,FW,Stuttgart,de Bundesliga,34,1855,15,1,16,14.1,12.4,1.9,64,27,42.2,18,47,7,20.0,0.73,0.05,0.68,0.9,42.19
Sepp van den Berg,DF,Brentford,eng Premier League,31,2586,0,0,0,2.0,2.0,0.8,20,6,30.0,6,22,2,57.1,0.0,0.0,0.07,-2.0,30.0
Arthur Desmas,GK,Le Havre,fr Ligue 1,18,1620,0,0,0,0.0,0.0,0.0,0,0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,
Justin Devenny,MF,Crystal Palace,eng Premier League,23,507,1,1,2,0.8,0.8,0.6,10,6,60.0,7,15,1,50.0,0.18,0.18,0.14,0.2,60.0
Michele Di Gregorio,GK,Juventus,it Serie A,33,2970,0,0,0,0.0,0.0,0.5,0,0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,
Giovanni Di Lorenzo,DF,Napoli,it Serie A,37,3330,3,2,5,2.8,2.8,3.9,21,6,28.6,37,80,8,12.9,0.08,0.05,0.08,0.2,28.57
Boulaye Dia,"MF,FW",Lazio,it Serie A,35,2177,9,3,12,7.1,7.1,4.2,39,19,48.7,26,55,8,40.5,0.37,0.12,0.29,1.9,48.72
Mouctar Diakhaby,DF,Valencia,es La Liga,13,653,2,0,2,1.5,1.5,0.0,11,4,36.4,1,4,1,50.0,0.28,0.0,0.21,0.5,36.36
Mamadou Diakhon,"FW,MF",Reims,fr Ligue 1,28,858,2,1,3,1.0,1.0,1.1,18,8,44.4,13,37,2,41.0,0.21,0.1,0.1,1.0,44.44
Bafodé Diakité,DF,Lille,fr Ligue 1,31,2766,4,1,5,2.3,2.3,0.2,16,7,43.8,3,19,3,100.0,0.13,0.03,0.07,1.7,43.75
Oumar Diakité,FW,Reims,fr Ligue 1,26,1628,4,1,5,5.5,4.7,1.1,26,9,34.6,11,39,4,35.1,0.22,0.06,0.3,-1.5,34.62
Amad Diallo,"MF,FW",Manchester Utd,eng Premier League,26,1901,8,6,14,4.7,4.7,4.9,47,17,36.2,49,97,18,46.6,0.38,0.28,0.22,3.3,36.17
Assane Diao,"FW,MF",Como,it Serie A,15,1252,8,1,9,4.0,4.0,0.4,28,13,46.4,8,31,4,26.4,0.58,0.07,0.29,4.0,46.43
Habib Diarra,"MF,FW",Strasbourg,fr Ligue 1,30,2352,4,5,9,3.3,1.8,4.5,25,10,40.0,27,57,8,26.5,0.15,0.19,0.13,0.7,40.0
Moussa Diarra,DF,Alavés,es La Liga,26,1866,0,0,0,0.0,0.0,0.1,1,0,0.0,3,18,4,50.0,0.0,0.0,0.0,0.0,0.0
Rúben Dias,DF,Manchester City,eng Premier League,27,2271,0,0,0,1.5,1.5,0.3,21,7,33.3,5,26,1,66.7,0.0,0.0,0.06,-1.5,33.33
Krépin Diatta,"DF,FW",Monaco,fr Ligue 1,19,508,0,0,0,0.2,0.2,0.8,2,1,50.0,4,10,0,61.5,0.0,0.0,0.04,-0.2,50.0
Mahamadou Diawara,MF,Le Havre,fr Ligue 1,15,582,0,1,1,0.4,0.4,0.4,7,1,14.3,7,14,1,46.2,0.0,0.15,0.06,-0.4,14.29
Brahim Díaz,"FW,MF",Real Madrid,es La Liga,31,1385,4,2,6,5.3,5.3,3.3,28,15,53.6,23,56,12,51.1,0.26,0.13,0.34,-1.3,53.57
Luis Díaz,FW,Liverpool,eng Premier League,36,2399,13,5,18,12.0,12.0,5.0,71,30,42.3,56,117,16,45.7,0.49,0.19,0.45,1.0,42.25
Pedro Díaz,MF,Rayo Vallecano,es La Liga,26,1211,3,0,3,2.4,1.6,2.1,31,7,22.6,26,50,5,58.8,0.22,0.0,0.18,0.6,22.58
Tyler Dibling,"FW,MF",Southampton,eng Premier League,33,1874,2,0,2,2.5,2.5,1.5,28,9,32.1,20,56,4,40.9,0.1,0.0,0.12,-0.5,32.14
Diego,FW,Leganés,es La Liga,28,1195,3,0,3,3.8,3.8,0.2,29,9,31.0,6,12,1,40.0,0.23,0.0,0.29,-0.8,31.03
Bamba Dieng,FW,Angers,fr Ligue 1,18,532,3,0,3,3.1,2.3,0.0,13,6,46.2,1,6,1,14.3,0.51,0.0,0.52,-0.1,46.15
Eric Dier,DF,Bayern Munich,de Bundesliga,21,1463,2,1,3,1.1,1.1,0.1,9,5,55.6,3,13,2,66.7,0.12,0.06,0.07,0.9,55.56
Lucas Digne,DF,Aston Villa,eng Premier League,32,2351,0,4,4,0.8,0.8,4.7,13,3,23.1,36,66,5,47.4,0.0,0.15,0.03,-0.8,23.08
Federico Dimarco,"DF,FW",Inter,it Serie A,32,2140,4,7,11,3.3,3.3,6.1,55,20,36.4,48,96,14,40.0,0.17,0.29,0.14,0.7,36.36
Stole Dimitrievski,GK,Valencia,es La Liga,4,360,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,
Eren Dinkçi,"MF,FW",Freiburg,de Bundesliga,23,1196,0,3,3,1.1,1.1,2.2,14,3,21.4,23,43,5,41.0,0.0,0.23,0.08,-1.1,21.43
Sinaly Diomande,DF,Auxerre,fr Ligue 1,23,1945,3,2,5,1.1,1.1,0.6,9,4,44.4,4,21,5,57.1,0.14,0.09,0.05,1.9,44.44
Yan Diomandé,"MF,FW",Leganés,es La Liga,10,545,2,1,3,1.4,1.4,0.9,11,3,27.3,14,37,5,60.5,0.33,0.17,0.23,0.6,27.27
Issa Diop,DF,Fulham,eng Premier League,21,1339,0,0,0,0.5,0.5,0.1,5,2,40.0,3,6,0,50.0,0.0,0.0,0.03,-0.5,40.0
Sofiane Diop,"MF,FW",Nice,fr Ligue 1,28,1064,6,4,10,6.0,6.0,2.9,22,11,50.0,24,47,9,32.3,0.51,0.34,0.51,0.0,50.0
Andy Diouf,MF,Lens,fr Ligue 1,34,2225,1,2,3,2.9,2.9,2.8,40,5,12.5,33,85,3,49.4,0.04,0.08,0.12,-1.9,12.5
Yehvann Diouf,GK,Reims,fr Ligue 1,34,3060,0,0,0,0.1,0.1,0.0,1,1,100.0,0,7,0,100.0,0.0,0.0,0.0,-0.1,100.0
Assane Dioussé,MF,Auxerre,fr Ligue 1,17,663,0,0,0,0.1,0.1,0.2,3,2,66.7,2,13,1,33.3,0.0,0.0,0.01,-0.1,66.67
Axel Disasi,DF,Aston Villa,eng Premier League,7,490,0,0,0,0.1,0.1,0.4,2,0,0.0,3,9,0,60.0,0.0,0.0,0.02,-0.1,0.0
Axel Disasi,DF,Chelsea,eng Premier League,6,364,1,0,1,0.3,0.3,0.1,2,1,50.0,2,2,0,100.0,0.25,0.0,0.07,0.7,50.0
Álvaro djaló,FW,Athletic Club,es La Liga,17,659,1,0,1,0.8,0.8,0.9,15,3,20.0,4,12,1,38.9,0.14,0.0,0.11,0.2,20.0
Djené,"DF,MF",Getafe,es La Liga,31,2548,0,0,0,0.3,0.3,0.6,6,0,0.0,9,21,1,41.2,0.0,0.0,0.01,-0.3,0.0
Berat Djimsiti,DF,Atalanta,it Serie A,34,2640,1,2,3,2.7,2.7,1.3,20,4,20.0,11,30,7,25.0,0.03,0.07,0.09,-1.7,20.0
Marko Dmitrović,GK,Leganés,es La Liga,32,2880,0,0,0,0.0,0.0,0.2,0,0,0.0,1,6,0,100.0,0.0,0.0,0.0,0.0,
Ritsu Doan,"FW,MF",Freiburg,de Bundesliga,34,2862,10,7,17,6.6,6.6,3.7,61,21,34.4,27,111,16,44.1,0.31,0.22,0.21,3.4,34.43
Dodô,DF,Fiorentina,it Serie A,34,3025,0,4,4,1.4,1.4,4.2,25,5,20.0,36,75,11,46.0,0.0,0.12,0.04,-1.4,20.0
Danilho Doekhi,DF,Union Berlin,de Bundesliga,34,3060,1,1,2,2.6,2.6,1.4,32,4,12.5,13,32,4,60.0,0.03,0.03,0.08,-1.6,12.5
Matt Doherty,DF,Wolves,eng Premier League,30,2109,2,1,3,1.0,1.0,1.5,10,3,30.0,12,25,3,52.4,0.09,0.04,0.04,1.0,30.0
Jeremy Doku,"FW,MF",Manchester City,eng Premier League,29,1516,3,6,9,1.3,1.3,4.8,29,9,31.0,32,79,14,53.2,0.18,0.36,0.08,1.7,31.03
Marc Domenech,"FW,MF",Mallorca,es La Liga,10,303,0,0,0,0.7,0.7,0.2,8,2,25.0,5,7,0,50.0,0.0,0.0,0.21,-0.7,25.0
Benjamín Domínguez,FW,Bologna,it Serie A,24,1281,3,2,5,2.2,2.2,0.8,30,17,56.7,10,41,7,37.8,0.21,0.14,0.15,0.8,56.67
Carlos Dominguez,DF,Celta Vigo,es La Liga,19,1181,0,0,0,0.2,0.2,0.1,3,1,33.3,2,6,0,66.7,0.0,0.0,0.02,-0.2,33.33
Nicolás Domínguez,"MF,FW",Nott'ham Forest,eng Premier League,34,1963,0,1,1,1.5,1.5,1.3,21,9,42.9,13,38,0,33.3,0.0,0.05,0.07,-1.5,42.86
Gianluigi Donnarumma,GK,Paris S-G,fr Ligue 1,24,2091,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,
Patrick Dorgu,DF,Manchester Utd,eng Premier League,12,842,0,0,0,0.4,0.4,0.7,10,2,20.0,12,24,1,23.1,0.0,0.0,0.04,-0.4,20.0
Patrick Dorgu,"DF,FW",Lecce,it Serie A,21,1840,3,1,4,3.3,3.3,1.5,36,10,27.8,19,58,7,29.5,0.15,0.05,0.16,-0.3,27.78
Niklas Dorsch,MF,Heidenheim,de Bundesliga,22,1335,2,2,4,1.0,1.0,1.1,9,3,33.3,13,35,2,50.0,0.13,0.13,0.07,1.0,33.33
Alberto Dossena,DF,Como,it Serie A,23,1825,0,2,2,0.8,0.8,0.7,12,3,25.0,5,11,2,66.7,0.0,0.1,0.04,-0.8,25.0
Abdoulaye Doucouré,MF,Everton,eng Premier League,33,2564,3,2,5,4.1,4.1,2.4,31,9,29.0,28,58,3,53.3,0.11,0.07,0.14,-1.1,29.03
Cheick Doucouré,MF,Crystal Palace,eng Premier League,13,452,0,0,0,0.4,0.4,0.0,7,0,0.0,1,9,3,40.0,0.0,0.0,0.08,-0.4,0.0
Désiré Doué,"FW,MF",Paris S-G,fr Ligue 1,31,1730,6,6,12,5.1,5.1,7.8,55,20,36.4,55,109,24,44.2,0.31,0.31,0.27,0.9,36.36
Guela Doué,DF,Strasbourg,fr Ligue 1,32,2717,1,2,3,0.8,0.8,0.7,18,6,33.3,11,44,5,65.9,0.03,0.07,0.03,0.2,33.33
Douglas,MF,Nantes,fr Ligue 1,28,2307,4,2,6,3.4,3.4,1.5,36,14,38.9,15,34,3,60.0,0.16,0.08,0.13,0.6,38.89
Ismaël Doukouré,"DF,MF",Strasbourg,fr Ligue 1,31,2639,1,1,2,0.6,0.6,1.1,3,1,33.3,11,22,4,76.5,0.03,0.03,0.02,0.4,33.33
Issa Doumbia,MF,Venezia,it Serie A,24,939,0,0,0,1.0,1.0,0.1,16,5,31.3,3,17,2,68.8,0.0,0.0,0.1,-1.0,31.25
Kamory Doumbia,"MF,FW",Brest,fr Ligue 1,30,1322,3,2,5,2.7,2.7,1.2,22,10,45.5,26,58,7,54.3,0.2,0.14,0.18,0.3,45.45
Anastasios Douvikas,FW,Como,it Serie A,13,580,2,2,4,2.5,2.5,1.1,14,5,35.7,9,19,1,55.6,0.31,0.31,0.39,-0.5,35.71
Anastasios Douvikas,FW,Celta Vigo,es La Liga,20,700,3,1,4,4.4,4.4,0.2,17,9,52.9,3,11,1,30.8,0.39,0.13,0.57,-1.4,52.94
Artem Dovbyk,FW,Roma,it Serie A,32,2418,12,2,14,11.9,10.3,2.4,61,25,41.0,25,52,6,38.9,0.45,0.07,0.44,0.1,40.98
Flynn Downes,MF,Southampton,eng Premier League,27,2151,1,0,1,0.6,0.6,1.1,10,3,30.0,15,31,2,40.0,0.04,0.0,0.03,0.4,30.0
Tommy Doyle,MF,Wolves,eng Premier League,24,488,0,1,1,0.6,0.6,0.5,9,2,22.2,7,17,3,55.6,0.0,0.18,0.11,-0.6,22.22
Radu Drăgușin,DF,Tottenham,eng Premier League,16,1252,0,0,0,0.1,0.1,0.4,5,1,20.0,4,8,1,0.0,0.0,0.0,0.01,-0.1,20.0
Patrick Drewes,GK,Bochum,de Bundesliga,21,1890,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,
Tim Drexler,DF,Hoffenheim,de Bundesliga,8,357,0,0,0,0.1,0.1,0.0,2,2,100.0,1,6,1,0.0,0.0,0.0,0.03,-0.1,100.0
Domingos Duarte,DF,Getafe,es La Liga,22,1859,1,0,1,0.2,0.2,0.1,3,1,33.3,2,9,0,0.0,0.05,0.0,0.01,0.8,33.33
Martin Dúbravka,GK,Newcastle Utd,eng Premier League,10,900,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,
Marvin Ducksch,FW,Werder Bremen,de Bundesliga,32,2418,8,8,16,10.1,8.5,8.5,70,27,38.6,61,103,12,36.8,0.3,0.3,0.38,-2.1,38.57
Ondrej Duda,MF,Hellas Verona,it Serie A,28,2395,1,3,4,1.0,1.0,3.2,25,5,20.0,32,73,7,59.5,0.04,0.11,0.04,0.0,20.0
Denzel Dumfries,"DF,FW",Inter,it Serie A,28,1865,7,2,9,5.4,5.4,3.2,36,19,52.8,21,55,4,28.9,0.34,0.1,0.26,1.6,52.78
Alfred Duncan,MF,Venezia,it Serie A,16,957,0,0,0,0.8,0.8,1.1,15,4,26.7,11,32,2,59.1,0.0,0.0,0.08,-0.8,26.67
Lewis Dunk,DF,Brighton,eng Premier League,25,2083,0,0,0,0.8,0.8,0.5,12,3,25.0,6,19,3,0.0,0.0,0.0,0.03,-0.8,25.0
Jáder Durán,FW,Aston Villa,eng Premier League,20,638,7,0,7,4.9,4.9,0.2,31,15,48.4,4,18,1,21.4,0.99,0.0,0.69,2.1,48.39
Pablo Durán,"FW,MF",Celta Vigo,es La Liga,27,1394,4,4,8,3.6,3.6,2.8,26,9,34.6,17,30,4,28.6,0.26,0.26,0.23,0.4,34.62
Hugo Duro,FW,Valencia,es La Liga,31,2166,11,2,13,9.4,8.6,1.3,48,16,33.3,14,29,5,35.0,0.46,0.08,0.39,1.6,33.33
Jean-Kevin Duverne,DF,Nantes,fr Ligue 1,9,537,0,0,0,0.3,0.3,0.1,4,0,0.0,1,5,0,40.0,0.0,0.0,0.05,-0.3,0.0
Paulo Dybala,"FW,MF",Roma,it Serie A,24,1417,6,3,9,6.4,4.0,5.0,47,15,31.9,40,84,8,25.6,0.38,0.19,0.41,-0.4,31.91
Adam Dźwigała,"DF,MF",St. Pauli,de Bundesliga,16,373,0,0,0,0.4,0.4,0.0,6,0,0.0,0,5,0,50.0,0.0,0.0,0.1,-0.4,0.0
Aron Dønnum,"DF,MF",Toulouse,fr Ligue 1,32,2689,2,2,4,2.1,2.1,4.6,31,5,16.1,45,92,11,45.2,0.07,0.07,0.07,-0.1,16.13
Ederson,GK,Manchester City,eng Premier League,26,2320,0,4,4,0.0,0.0,1.5,0,0,0.0,4,6,4,0.0,0.0,0.16,0.0,0.0,
Éderson,MF,Atalanta,it Serie A,37,2881,4,1,5,4.1,4.1,4.3,39,12,30.8,37,98,10,44.2,0.12,0.03,0.13,-0.1,30.77
Johannes Eggestein,FW,St. Pauli,de Bundesliga,27,1853,3,4,7,4.7,3.1,2.1,34,10,29.4,24,43,4,41.2,0.15,0.19,0.23,-1.7,29.41
Maximilian Eggestein,MF,Freiburg,de Bundesliga,33,2845,2,0,2,2.0,2.0,1.5,36,10,27.8,19,51,5,45.8,0.06,0.0,0.06,0.0,27.78
Kingsley Ehizibue,DF,Udinese,it Serie A,33,2498,0,1,1,1.2,1.2,2.2,14,4,28.6,22,51,2,40.0,0.0,0.04,0.04,-1.2,28.57
Chidera Ejuke,FW,Sevilla,es La Liga,25,966,2,1,3,1.1,1.1,1.9,20,8,40.0,21,45,2,55.3,0.19,0.09,0.1,0.9,40.0
Jeff Ekhator,"FW,MF",Genoa,it Serie A,24,769,1,1,2,1.3,1.3,1.0,10,3,30.0,11,21,2,30.8,0.12,0.12,0.15,-0.3,30.0
Hugo Ekitike,FW,Eint Frankfurt,de Bundesliga,33,2563,15,8,23,21.6,19.3,6.8,114,44,38.6,44,101,12,43.7,0.53,0.28,0.76,-6.6,38.6
Jurgen Ekkelenkamp,MF,Udinese,it Serie A,34,1892,3,2,5,2.8,2.8,1.3,27,9,33.3,15,38,6,33.3,0.14,0.1,0.13,0.2,33.33
Jacques Ekomie,"DF,FW",Angers,fr Ligue 1,18,697,0,0,0,0.0,0.0,0.0,1,0,0.0,0,4,1,19.0,0.0,0.0,0.0,0.0,0.0
Caleb Ekuban,FW,Genoa,it Serie A,18,555,1,3,4,2.8,2.8,0.8,18,6,33.3,8,14,3,30.0,0.16,0.49,0.45,-1.8,33.33
Pierre Ekwah Elimby,MF,Saint-Étienne,fr Ligue 1,29,2575,1,0,1,0.7,0.7,1.0,25,6,24.0,16,40,4,56.3,0.03,0.0,0.02,0.3,24.0
Anthony Elanga,"FW,MF",Nott'ham Forest,eng Premier League,38,2501,6,11,17,4.5,4.5,5.7,44,24,54.5,50,102,18,30.1,0.22,0.4,0.16,1.5,54.55
Mikael Ellertsson,"DF,MF",Venezia,it Serie A,36,2470,2,2,4,1.1,1.1,1.6,21,4,19.0,20,46,5,38.1,0.07,0.07,0.04,0.9,19.05
Harvey Elliott,MF,Liverpool,eng Premier League,18,371,1,2,3,1.8,1.8,1.1,17,4,23.5,10,21,3,44.4,0.24,0.49,0.44,-0.8,23.53
Elif Elmas,"FW,MF",Torino,it Serie A,13,1021,4,0,4,1.4,1.4,0.4,19,9,47.4,9,29,3,34.2,0.35,0.0,0.12,2.6,47.37
Aritz Elustondo,DF,Real Sociedad,es La Liga,22,1457,0,0,0,0.4,0.4,0.2,4,0,0.0,4,11,1,37.5,0.0,0.0,0.02,-0.4,0.0
Nico Elvedi,DF,Gladbach,de Bundesliga,25,2135,1,1,2,2.0,2.0,0.4,12,3,25.0,5,16,4,0.0,0.04,0.04,0.08,-1.0,25.0
Adri Embarba,"FW,MF",Rayo Vallecano,es La Liga,35,1607,1,1,2,2.1,2.1,2.7,37,12,32.4,20,46,2,35.7,0.06,0.06,0.12,-1.1,32.43
Breel Embolo,"FW,MF",Monaco,fr Ligue 1,29,1841,6,4,10,10.8,10.8,5.6,51,18,35.3,32,54,10,33.3,0.29,0.2,0.53,-4.8,35.29
Emanuel Emegha,FW,Strasbourg,fr Ligue 1,27,2293,14,3,17,17.0,17.0,2.4,61,35,57.4,18,32,4,25.0,0.55,0.12,0.67,-3.0,57.38
Emerson,DF,Milan,it Serie A,17,1377,0,0,0,0.4,0.4,0.7,10,2,20.0,15,33,1,38.9,0.0,0.0,0.03,-0.4,20.0
Julio Enciso,"MF,FW",Ipswich Town,eng Premier League,13,869,2,3,5,1.7,1.7,1.4,32,11,34.4,13,29,4,45.5,0.21,0.31,0.18,0.3,34.38
Endrick,FW,Real Madrid,es La Liga,22,363,1,0,1,2.5,2.5,0.5,24,6,25.0,4,8,2,36.4,0.25,0.0,0.62,-1.5,25.0
Yannik Engelhardt,"MF,DF",Como,it Serie A,26,1164,1,1,2,0.6,0.6,1.5,8,2,25.0,12,24,2,60.0,0.08,0.08,0.05,0.4,25.0
Christian Eriksen,MF,Manchester Utd,eng Premier League,23,1061,1,2,3,1.4,0.6,3.2,14,1,7.1,31,56,7,0.0,0.08,0.17,0.12,-0.4,7.14
Martin Erlic,DF,Bologna,it Serie A,8,334,0,0,0,0.2,0.2,0.0,6,0,0.0,0,4,1,0.0,0.0,0.0,0.05,-0.2,0.0
Patrick Erras,DF,Holstein Kiel,de Bundesliga,10,832,1,0,1,0.9,0.9,0.1,8,1,12.5,3,8,0,0.0,0.11,0.0,0.1,0.1,12.5
Alfonso Espino,DF,Rayo Vallecano,es La Liga,16,833,0,1,1,0.4,0.4,0.6,10,2,20.0,5,13,1,35.7,0.0,0.11,0.04,-0.4,20.0
Sebastiano Esposito,"FW,MF",Empoli,it Serie A,33,2331,8,0,8,5.7,4.2,2.1,59,19,32.2,36,79,6,43.3,0.31,0.0,0.22,2.3,32.2
Samuel Essende,FW,Augsburg,de Bundesliga,30,1636,7,2,9,4.2,4.2,1.3,44,13,29.5,11,27,3,26.9,0.39,0.11,0.23,2.8,29.55
Dario Essugo,MF,Las Palmas,es La Liga,27,1938,1,0,1,0.7,0.7,0.4,23,4,17.4,13,36,1,66.7,0.05,0.0,0.03,0.3,17.39
Nahuel Estévez,MF,Parma,it Serie A,14,657,0,0,0,0.1,0.1,0.8,5,1,20.0,6,13,1,100.0,0.0,0.0,0.01,-0.1,20.0
Pervis Estupiñán,DF,Brighton,eng Premier League,30,2402,1,1,2,1.2,1.2,2.1,28,9,32.1,26,58,4,55.9,0.04,0.04,0.04,-0.2,32.14
Evanilson,FW,Bournemouth,eng Premier League,31,2319,10,1,11,12.5,11.7,1.9,72,31,43.1,26,61,8,33.3,0.39,0.04,0.49,-2.5,43.06
Jonny Evans,DF,Manchester Utd,eng Premier League,7,315,0,0,0,0.1,0.1,0.0,2,1,50.0,0,2,0,100.0,0.0,0.0,0.03,-0.1,50.0
Edu Expósito,MF,Espanyol,es La Liga,19,1045,0,2,2,1.0,1.0,3.2,18,6,33.3,28,44,2,53.6,0.0,0.17,0.09,-1.0,33.33
Eberechi Eze,"MF,FW",Crystal Palace,eng Premier League,34,2588,8,8,16,10.5,8.9,6.2,100,27,27.0,58,135,10,48.6,0.28,0.28,0.37,-2.5,27.0
Abde Ezzalzouli,"FW,MF",Betis,es La Liga,32,1984,2,2,4,8.0,7.2,2.0,61,25,41.0,27,66,7,44.7,0.09,0.09,0.36,-6.0,40.98
Giovanni Fabbian,MF,Bologna,it Serie A,30,1023,3,1,4,2.3,2.3,1.3,21,5,23.8,9,19,0,12.5,0.26,0.09,0.2,0.7,23.81
Łukasz Fabiański,GK,West Ham,eng Premier League,14,1160,0,0,0,0.0,0.0,0.0,0,0,0.0,0,3,0,100.0,0.0,0.0,0.0,0.0,
Alieu Fadera,"FW,DF",Como,it Serie A,28,1644,1,3,4,1.7,1.7,4.0,28,9,32.1,23,54,7,38.2,0.05,0.16,0.09,-0.7,32.14
Wout Faes,DF,Leicester City,eng Premier League,34,2815,1,0,1,1.5,1.5,0.1,12,1,8.3,4,17,0,83.3,0.03,0.0,0.05,-0.5,8.33
Nicolò Fagioli,MF,Fiorentina,it Serie A,15,962,1,2,3,0.5,0.5,3.0,10,4,40.0,23,43,4,45.5,0.09,0.19,0.05,0.5,40.0
Nicolò Fagioli,MF,Juventus,it Serie A,17,571,0,0,0,0.6,0.6,0.1,12,1,8.3,4,10,1,66.7,0.0,0.0,0.09,-0.6,8.33
Romain Faivre,"MF,FW",Brest,fr Ligue 1,20,899,3,2,5,2.6,1.8,1.9,18,9,50.0,10,33,4,40.5,0.3,0.2,0.26,0.4,50.0
Wladimiro Falcone,GK,Lecce,it Serie A,38,3420,0,0,0,0.0,0.0,0.0,0,0,0.0,0,11,1,0.0,0.0,0.0,0.0,0.0,
Abdul Fatawu Issahaku,FW,Leicester City,eng Premier League,11,579,0,2,2,0.4,0.4,1.6,13,5,38.5,6,17,3,42.0,0.0,0.31,0.06,-0.4,38.46
Khalil Fayad,"MF,FW",Montpellier,fr Ligue 1,20,1028,0,0,0,1.3,1.3,0.3,17,3,17.6,7,19,1,44.7,0.0,0.0,0.11,-1.3,17.65
Jacopo Fazzini,MF,Empoli,it Serie A,20,1383,4,1,5,3.1,3.1,0.5,27,9,33.3,12,49,7,47.9,0.26,0.07,0.2,0.9,33.33
Mattia Felici,"MF,FW",Cagliari,it Serie A,20,925,0,3,3,0.6,0.6,1.0,10,6,60.0,10,31,4,33.3,0.0,0.29,0.06,-0.6,60.0
João Félix,"FW,MF",Chelsea,eng Premier League,12,369,1,1,2,2.2,2.2,1.0,20,5,25.0,6,18,3,32.3,0.24,0.24,0.54,-1.2,25.0
João Félix,MF,Milan,it Serie A,15,760,2,0,2,2.7,2.7,1.2,29,8,27.6,10,35,6,42.9,0.24,0.0,0.32,-0.7,27.59
Kiko Femenía,DF,Villarreal,es La Liga,28,2227,0,1,1,0.4,0.4,1.3,3,0,0.0,16,43,5,70.8,0.0,0.04,0.02,-0.4,0.0
Lewis Ferguson,MF,Bologna,it Serie A,16,983,1,1,2,1.0,0.2,1.1,5,1,20.0,14,32,1,55.6,0.09,0.09,0.09,0.0,20.0
Zinedine Ferhat,"FW,MF",Angers,fr Ligue 1,24,849,2,0,2,1.4,1.4,2.4,12,5,41.7,17,32,1,45.5,0.21,0.0,0.15,0.6,41.67
Bruno Fernandes,MF,Manchester Utd,eng Premier League,36,3018,8,10,18,9.9,7.6,8.5,93,26,28.0,91,193,13,41.8,0.24,0.3,0.3,-1.9,27.96
Edimilson Fernandes,"MF,DF",Brest,fr Ligue 1,19,1105,0,1,1,0.4,0.4,0.6,10,2,20.0,8,16,1,75.0,0.0,0.08,0.03,-0.4,20.0
Mateus Fernandes,MF,Southampton,eng Premier League,36,2909,2,4,6,4.0,4.0,3.0,42,14,33.3,34,78,7,45.0,0.06,0.12,0.12,-2.0,33.33
Álvaro Fernández,GK,Sevilla,es La Liga,9,747,0,0,0,0.0,0.0,0.1,0,0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,
Enzo Fernández,MF,Chelsea,eng Premier League,36,2947,6,7,13,6.1,6.1,6.8,53,20,37.7,77,147,16,47.3,0.18,0.21,0.19,-0.1,37.74
Roberto Férnandez,FW,Espanyol,es La Liga,19,1497,6,0,6,3.6,3.6,0.6,21,9,42.9,8,28,3,40.7,0.36,0.0,0.22,2.4,42.86
Valery Fernández,"MF,FW",Mallorca,es La Liga,18,309,2,0,2,0.8,0.8,0.0,3,3,100.0,1,5,3,16.7,0.58,0.0,0.23,1.2,100.0
Matias Fernandez-Pardo,"FW,MF",Lille,fr Ligue 1,22,1065,4,2,6,2.9,2.9,2.8,23,12,52.2,16,30,6,40.0,0.34,0.17,0.25,1.1,52.17
André Ferreira,GK,Valladolid,es La Liga,6,540,0,0,0,0.0,0.0,0.0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,
Jordan Ferri,MF,Montpellier,fr Ligue 1,25,1773,0,2,2,0.4,0.4,0.9,14,3,21.4,13,47,5,32.1,0.0,0.1,0.02,-0.4,21.43
Daniel Fila,FW,Venezia,it Serie A,10,492,2,0,2,1.4,1.4,0.3,8,5,62.5,6,15,0,50.0,0.37,0.0,0.26,0.6,62.5
Kilian Fischer,DF,Wolfsburg,de Bundesliga,32,2297,1,0,1,0.3,0.3,0.5,6,1,16.7,12,39,2,43.5,0.04,0.0,0.01,0.7,16.67
Mark Flekken,GK,Brentford,eng Premier League,37,3275,0,2,2,0.0,0.0,0.5,0,0,0.0,3,10,2,100.0,0.0,0.05,0.0,0.0,
Phil Foden,"MF,FW",Manchester City,eng Premier League,28,1777,7,2,9,5.2,5.2,4.8,54,16,29.6,43,88,9,32.6,0.35,0.1,0.26,1.8,29.63
Malick Fofana,FW,Lyon,fr Ligue 1,29,1589,5,4,9,3.8,3.8,3.7,31,15,48.4,25,55,11,40.7,0.28,0.23,0.22,1.2,48.39
